0,247社区
1,奥克斯电气
2,奥兰里
3,奥林匹克博物馆
4,奥林花园
5,安乐村
6,安光小学
7,安光村
8,安光油墨厂
9,安太里
10,安定里
11,安泽里
12,安津医院
13,安裕新村
14,安达桥
15,安阳道
16,敖北
17,敖嘴村口
18,敖西
19,爱国东里
20,爱国北里
21,爱国里
22,爱营里
23,艾林庄
24,艾蒲庄
25,阿尔卑斯
26,鞍山西道
27,鞍山道
28,BBA公司
29,五号堤路
30,保利天汇
31,保利海棠湾
32,保安大街
33,保定桥
34,保定道
35,保山南里
36,保泽道
37,保盈里
38,保税仓
39,保税区公交站
40,保税区管委会
41,保税路
42,俵口中学
43,俵口乡政府
44,八一礼堂
45,八仙山公交站
46,八仙里
47,八台港
48,八堡
49,八堡村
50,八字桥
51,八户庄
52,八景园
53,八栋楼
54,八里台
55,八里台水厂
56,八里台第一小学
57,八里台镇卫生院
58,八里台镇卫生院(便民站)
59,八里台镇工业区南门
60,八里台镇潘家洼
61,八里坊
62,八里坊北区
63,八里庄(京福公路)
64,八里庄(胜利大街)
65,八里庄[武清区]
66,八里桥中心小学
67,八里桥村
68,八里铺村
69,八门城镇
70,兵营桥
71,别山医院
72,别山村
73,别山镇
74,别山镇政府
75,办公厅
76,包头道
77,包营村
78,北三村
79,北义
80,北五里
81,北京科技大学天津学院
82,北仇庄
83,北仑里
84,北仓
85,北仓礼堂
86,北何庄
87,北六里屯
88,北刘村
89,北区北门(创业路交警大队)
90,北区西里东门
91,北医道
92,北和顺村
93,北城街
94,北塘企业总部
95,北塘公交站
96,北塘古镇
97,北塘大街
98,北塘指挥部
99,北塘文体中心
100,北塘社区服务中心
101,北塘馨宇家园
102,北大港农场
103,北大港农场(杨苏公路)
104,北大港农场三队
105,北大附中
106,北太平庄
107,北孙庄
108,北宁公园
109,北安桥
110,北安楼
111,北小屯
112,北小屯邦喜路口
113,北岸印象
114,北岸尚城
115,北张庄
116,北抛庄
117,北擂鼓台
118,北新楼
119,北方五金城
120,北方动力
121,北方装饰城
122,北方黄金珠宝园
123,北旺
124,北水泉村
125,北汪家庄
126,北洋桥
127,北洋集装箱
128,北海粮油
129,北海路
130,北淮淀村
131,北清沟
132,北湖村
133,北王平
134,北王庄
135,北环东路
136,北疆电厂
137,北站
138,北站[万柳村大街]
139,北站[地铁站]
140,北站体育场
141,北站体育场(北宁公园)
142,北竹林
143,北肖楼
144,北营门桥
145,北辛庄
146,北辰中医院
147,北辰医院
148,北辰大厦
149,北辰工业园(京宝工业园)
150,北辰开发区站
151,北辰开发区管委会
152,北辰科技园
153,北辰科技园北
154,北辰西道
155,北辰西道京福路
156,北辰西道高铁桥
157,北辰道
158,北辰郊野公园
159,北运河桥
160,北里八口
161,北门(北马路)
162,北门(城厢中路)
163,北闸口中学
164,北闸口小学
165,北闸口开发区
166,北闸口文化体育艺术中心
167,北闸口镇卫生院
168,北陈花园
169,北靳庄
170,北靳庄南口
171,北韩路韩家墅
172,北马营
173,北马集
174,北鲁庄子
175,北鲁庄工业园区
176,北麻疸村
177,半壁店
178,博信汽配
